Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
668,So-LoIn12,,Point,38.22765004,-122.8268784,73.699,-27.645
519,So-PoFr01,,Point,38.23142253,-122.8252053,92.04,-27.637
638,So-PoFr02,,Point,38.2277693,-122.8266703,74.548,-27.645
639,So-PoFr03,,Point,38.2277164,-122.8267523,74.279,-27.645
642,So-PoFr04,,Point,38.2277766,-122.8267976,74.784,-27.645
646,So-PoFr05,,Point,38.22791709,-122.8266249,75.082,-27.645
666,So-PoFr06,,Point,38.22771769,-122.8268425,74.534,-27.645
565,So-QuAg39,,Point,38.23013807,-122.8256941,86.008,-27.64
567,So-QuAg40,,Point,38.23025374,-122.8256714,85.77,-27.64
612,So-QuAg41,,Point,38.22876667,-122.8261442,78.313,-27.643
619,So-QuAg42,,Point,38.22869328,-122.8261478,78.572,-27.643
540,So-RoCa20,,Point,38.22996387,-122.8258579,83.993,-27.64
541,So-RoCa21,,Point,38.22993598,-122.8258923,83.703,-27.64
542,So-RoCa22,,Point,38.22977948,-122.8259565,83.052,-27.641
551,So-RoCa23,,Point,38.22972245,-122.8258962,84.294,-27.641
552,So-RoCa24,,Point,38.22974805,-122.8259116,84.078,-27.641
581,So-RoCa25,,Point,38.2307441,-122.82539,88.976,-27.639
566,So-RoCa26,,Point,38.23016796,-122.8257111,85.822,-27.64
654,So-RoCa27,,Point,38.22854895,-122.8262512,78.656,-27.643
597,So-RuUr31,,Point,38.22916114,-122.8259766,81.343,-27.642
601,So-RuUr32,,Point,38.2289841,-122.826087,79.875,-27.642
606,So-RuUr33,,Point,38.22883533,-122.8261451,78.608,-27.643
610,So-RuUr34,,Point,38.22878822,-122.8261619,78.676,-27.643
613,So-RuUr35,,Point,38.22876881,-122.8261828,78.139,-27.643
614,So-RuUr36,,Point,38.22872813,-122.8262177,78.212,-27.643
618,So-RuUr37,,Point,38.22868979,-122.8262115,78.168,-27.643
624,So-RuUr38,,Point,38.22854695,-122.8261577,77.098,-27.643
627,So-RuUr39,,Point,38.22851771,-122.8261789,76.763,-27.643
630,So-RuUr40,,Point,38.22847678,-122.8262131,76.837,-27.643
634,So-RuUr41,,Point,38.22823964,-122.8262344,76.783,-27.644
635,So-RuUr42,,Point,38.22818882,-122.8262431,77.22,-27.644
636,So-RuUr43,,Point,38.2281222,-122.8262905,76.561,-27.644
653,So-RuUr44,,Point,38.22852629,-122.8262387,78.149,-27.643
662,So-RuUr45,,Point,38.22891324,-122.8261944,80.304,-27.643
598,So-SaNi01,,Point,38.22911851,-122.8259916,80.996,-27.642
637,So-SaNi02,,Point,38.2277779,-122.8266106,74.967,-27.645
647,So-SaNi03,,Point,38.22795885,-122.8266434,75.58,-27.645
648,So-SaNi04,,Point,38.22801806,-122.8265856,75.814,-27.644
649,So-SaNi05,,Point,38.22825183,-122.8263619,77.402,-27.644
651,So-SaNi06,,Point,38.22837671,-122.8263324,78.707,-27.644
655,So-SaNi07,,Point,38.22865185,-122.8263236,79.845,-27.643
657,So-SaNi08,,Point,38.22870221,-122.8263248,80.327,-27.643
659,So-SaNi09,,Point,38.22882255,-122.8262382,80.071,-27.643
684,So-SaNi10,,Point,38.22695598,-122.8268971,72.542,-27.647
674,So-SaSp100,,Point,38.22712944,-122.8269215,71.439,-27.646
675,So-SaSp101,,Point,38.22711613,-122.8269257,71.619,-27.646
676,So-SaSp102,,Point,38.2270988,-122.8269339,71.896,-27.646
677,So-SaSp103,,Point,38.2270816,-122.8269424,72.085,-27.646
678,So-SaSp104,,Point,38.22705726,-122.8269431,71.942,-27.646
679,So-SaSp105,,Point,38.22696656,-122.8269632,71.407,-27.647
680,So-SaSp106,,Point,38.22695484,-122.8269672,71.422,-27.647
681,So-SaSp107,,Point,38.22694366,-122.8269704,71.311,-27.647
682,So-SaSp108,,Point,38.22693292,-122.8269756,71.317,-27.647
683,So-SaSp109,,Point,38.22615209,-122.8273703,70.234,-27.648
697,So-SaSp110,,Point,38.22455846,-122.8284979,68.092,-27.652
698,So-SaSp111,,Point,38.2245709,-122.8284873,67.419,-27.652
699,So-SaSp112,,Point,38.22528949,-122.827917,68.767,-27.65
700,So-SaSp113,,Point,38.22529951,-122.827915,68.894,-27.65
701,So-SaSp114,,Point,38.22530572,-122.8279112,68.716,-27.65
702,So-SaSp115,,Point,38.22531766,-122.8278972,68.586,-27.65
703,So-SaSp116,,Point,38.22532969,-122.8278904,68.629,-27.65
704,So-SaSp117,,Point,38.22539893,-122.8278537,68.882,-27.65
705,So-SaSp118,,Point,38.22541189,-122.8278409,68.582,-27.65
706,So-SaSp119,,Point,38.22542797,-122.8278382,68.999,-27.65
707,So-SaSp120,,Point,38.22543457,-122.8278323,68.975,-27.65
708,So-SaSp121,,Point,38.22545068,-122.8278273,69.602,-27.65
709,So-SaSp122,,Point,38.22545933,-122.8278146,69.548,-27.65
710,So-SaSp123,,Point,38.22546914,-122.8277988,69.86,-27.65
711,So-SaSp124,,Point,38.22546728,-122.8277726,69.395,-27.65
557,So-SaSp74,,Point,38.22997171,-122.8257715,85.055,-27.64
558,So-SaSp75,,Point,38.22998393,-122.8257534,85.149,-27.64
559,So-SaSp76,,Point,38.22999138,-122.8257479,85.035,-27.64
577,So-SaSp77,,Point,38.23061353,-122.8254479,88.231,-27.639
578,So-SaSp78,,Point,38.23063903,-122.8254304,87.987,-27.639
589,So-SaSp79,,Point,38.22932228,-122.8259383,80.958,-27.642
590,So-SaSp80,,Point,38.22929611,-122.825945,80.909,-27.642
591,So-SaSp81,,Point,38.22926946,-122.8259689,80.931,-27.642
592,So-SaSp82,,Point,38.22926375,-122.8259695,81.084,-27.642
594,So-SaSp83,,Point,38.22918836,-122.8260056,80.475,-27.642
595,So-SaSp84,,Point,38.22918154,-122.8260028,80.913,-27.642
596,So-SaSp85,,Point,38.22917157,-122.8260215,80.891,-27.642
607,So-SaSp86,,Point,38.22884399,-122.826159,78.566,-27.643
608,So-SaSp87,,Point,38.22883097,-122.8261496,78.516,-27.643
609,So-SaSp88,,Point,38.22881096,-122.8261564,78.476,-27.643
611,So-SaSp89,,Point,38.22879391,-122.8261742,78.437,-27.643
616,So-SaSp90,,Point,38.22871858,-122.8262281,77.937,-27.643
617,So-SaSp91,,Point,38.2287049,-122.8262258,77.78,-27.643
623,So-SaSp92,,Point,38.22856261,-122.8261779,77.048,-27.643
625,So-SaSp93,,Point,38.22854478,-122.8261721,77.006,-27.643
626,So-SaSp94,,Point,38.22852488,-122.8261808,76.869,-27.643
669,So-SaSp95,,Point,38.22749543,-122.8269388,72.802,-27.646
