Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
358,Sh-BenchStallcup,"",Point,38.2264343483333,-122.591976131667,1.351,-27.405
357,Sh-WaterGate01,"",Point,38.2250421283333,-122.593172548333,1.332,-27.408
356,Sh-BenchKortum,"",Point,38.2251737466667,-122.593044038333,1.563,-27.408
355,Sh-Station13,"",Point,38.2263197316667,-122.592033631667,0.903,-27.405
354,Sh-Post1,"",Point,38.2266432366667,-122.591688813333,-0.27,-27.404
353,Sh-Bench,"",Point,38.2270642666667,-122.591365463333,0.927,-27.403
352,Sh-Sign,"",Point,38.227082545,-122.591337601667,0.156,-27.403
