Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
132,So-AeCa01,,Point,38.22450665,-122.8283166,67.936,-27.652
133,So-AeCa02,,Point,38.22448787,-122.8283547,67.756,-27.652
169,So-AeCa03,,Point,38.22630789,-122.8272667,70.618,-27.648
170,So-AeCa04,,Point,38.22627431,-122.8273116,70.129,-27.648
193,So-AeCa05,,Point,38.22563953,-122.8260885,79.616,-27.648
195,So-AeCa06,,Point,38.22569729,-122.8259715,80.233,-27.648
198,So-AeCa07,,Point,38.2257346,-122.8260809,79.162,-27.648
230,So-AeCa08,,Point,38.22592895,-122.8268005,74.08,-27.648
232,So-AeCa09,,Point,38.22595838,-122.8268412,72.823,-27.648
233,So-AeCa10,,Point,38.22593132,-122.8269001,72.835,-27.648
234,So-AeCa11,,Point,38.22597403,-122.8269067,72.81,-27.648
236,So-AeCa12,,Point,38.22596124,-122.8269669,72.288,-27.648
250,So-AeCa13,,Point,38.22608963,-122.8272774,70.233,-27.648
251,So-AeCa14,,Point,38.22614199,-122.8272329,70.069,-27.648
252,So-AeCa15,,Point,38.22618678,-122.8272642,69.799,-27.648
253,So-AeCa16,,Point,38.22622531,-122.8271886,70.516,-27.648
294,So-AeCa17,,Point,38.22759223,-122.8267795,74.651,-27.645
295,So-AeCa18,,Point,38.22766461,-122.8267519,74.371,-27.645
296,So-AeCa19,,Point,38.2277239,-122.8266918,74.254,-27.645
328,So-AeCa20,,Point,38.2283217,-122.8262024,77.654,-27.644
329,So-AeCa21,,Point,38.22837961,-122.8261598,78.055,-27.643
277,So-CaBa-B1.01,,Point,38.22731295,-122.8269208,73.014,-27.646
278,So-CaBa-B1.02,,Point,38.22731231,-122.8268894,73.716,-27.646
279,So-CaBa-B1.03,,Point,38.22721834,-122.8268507,73.826,-27.646
280,So-CaBa-B1.04,,Point,38.22720271,-122.8268823,73.068,-27.646
157,So-CoSe06,,Point,38.22671436,-122.8270436,70.966,-27.647
158,So-CoSe07,,Point,38.22670835,-122.8270457,70.797,-27.647
159,So-CoSe08,,Point,38.22669535,-122.8270494,70.982,-27.647
160,So-CoSe09,,Point,38.22668551,-122.8270532,71.108,-27.647
161,So-CoSe10,,Point,38.22667415,-122.8270569,71.179,-27.647
283,So-CoSe11,,Point,38.22746196,-122.8269134,72.928,-27.646
284,So-CoSe12,,Point,38.22747667,-122.8269069,72.87,-27.646
311,So-CoSe13,,Point,38.22800827,-122.8264344,74.787,-27.644
312,So-CoSe14,,Point,38.22801469,-122.826418,74.73,-27.644
316,So-CoSe15,,Point,38.22812116,-122.8263131,75.408,-27.644
318,So-CoSe16,,Point,38.22812971,-122.8263046,75.551,-27.644
154,So-FrCa01-1/18,,Point,38.22680852,-122.8270405,71.157,-27.647
156,So-FrCa02-1/18,,Point,38.22674979,-122.8270514,71.432,-27.647
168,So-FrCa03-01/18,,Point,38.22636331,-122.8272158,70.756,-27.648
262,So-FrCa04-1/18,,Point,38.22633698,-122.8271394,69.919,-27.648
320,So-FrCa05-1/24,,Point,38.22817898,-122.8262184,76.998,-27.644
324,So-FrCa06-1/24,,Point,38.22825271,-122.8261921,77.468,-27.644
122,So-FrLa01,,Point,38.22531916,-122.8278076,68.996,-27.65
123,So-FrLa02,,Point,38.22529554,-122.827825,68.949,-27.65
124,So-FrLa03,,Point,38.22511075,-122.8280089,68.072,-27.651
125,So-FrLa04,,Point,38.22508439,-122.8280373,67.779,-27.651
126,So-FrLa05,,Point,38.22495151,-122.8281246,68.169,-27.651
128,So-FrLa06,,Point,38.22470995,-122.8283921,68.239,-27.652
129,So-FrLa07,,Point,38.22475048,-122.8283539,68.263,-27.652
130,So-FrLa08,,Point,38.22477728,-122.8283241,67.9,-27.652
144,So-FrLa09,,Point,38.22519315,-122.8280114,68.099,-27.651
145,So-FrLa10,,Point,38.22523497,-122.8279809,68.389,-27.651
162,So-FrLa11-1/18,,Point,38.22663118,-122.827109,71.109,-27.647
167,So-FrLa12-1/18,,Point,38.22642372,-122.8271786,71.137,-27.648
175,So-FrLa13-1/18,,Point,38.22609992,-122.8273913,69.629,-27.648
178,So-FrLa14-1/18,,Point,38.2259024,-122.8275324,69.794,-27.649
241,So-FrLa15-1/18,,Point,38.22596156,-122.8274198,69.765,-27.649
266,So-FrLa16-1/18,,Point,38.22645883,-122.827089,69.772,-27.648
267,So-FrLa17-1/18,,Point,38.22654549,-122.8270696,70.293,-27.647
272,So-FrLa18-1/18,,Point,38.22675859,-122.8269917,71.231,-27.647
274,So-FrLa19-1/18,,Point,38.22690558,-122.8269352,71.477,-27.647
275,So-FrLa20-1/18,,Point,38.22700419,-122.8269046,71.544,-27.646
276,So-FrLa21-1/18,,Point,38.22718905,-122.8268423,72.46,-27.646
281,So-FrLa22-1/18,,Point,38.22735137,-122.8269057,72.834,-27.646
290,So-FrLa23-1/18,,Point,38.22729183,-122.8269651,73.292,-27.646
291,So-FrLa24-1/18,,Point,38.22721659,-122.8269854,73.103,-27.646
292,So-FrLa25-1/18,,Point,38.22718829,-122.8269272,72.862,-27.646
303,So-FrLa26-1/24,,Point,38.22789318,-122.8265523,75.196,-27.645
305,So-FrLa27-1/24,,Point,38.22793257,-122.8265049,74.583,-27.644
308,So-FrLa28-1/24,,Point,38.22797068,-122.8264684,75.501,-27.644
323,So-FrLa29-1/24,,Point,38.22820676,-122.8261908,77.313,-27.644
332,So-FrLa30-1/24,,Point,38.22809933,-122.8264038,75.546,-27.644
335,So-FrLa31-1/24,,Point,38.22821228,-122.8263268,76.404,-27.644
339,So-FrLa32-1/24,,Point,38.22832305,-122.8263021,77.084,-27.644
341,So-FrLa33-1/24,,Point,38.22843076,-122.8263032,77.21,-27.643
285,So-LoIn01-1/24,,Point,38.22755824,-122.8268334,73.474,-27.645
293,So-LoIn02-1/24,,Point,38.22759099,-122.8268247,74.245,-27.645
330,So-LoIn03-1/24,,Point,38.22804747,-122.8264815,75.444,-27.644
331,So-LoIn04-1/24,,Point,38.22806947,-122.8264554,75.312,-27.644
334,So-LoIn05-1/24,,Point,38.22818269,-122.8263342,76.022,-27.644
121,So-QuAg23,,Point,38.22573199,-122.8274948,69.778,-27.649
127,So-QuAg24,,Point,38.22449402,-122.8285994,67.171,-27.652
131,So-QuAg25,,Point,38.22456996,-122.8283155,68.602,-27.652
146,So-QuAg26,,Point,38.22567563,-122.8276687,70.108,-27.649
147,So-QuAg27,,Point,38.22574794,-122.8276053,69.992,-27.649
151,So-QuAg28,,Point,38.2269181,-122.8270302,71.914,-27.647
155,So-QuAg29,,Point,38.22678151,-122.8270746,71.599,-27.647
179,So-QuAg30,,Point,38.22583196,-122.8275931,70.055,-27.649
180,So-QuAg31,,Point,38.2258592,-122.8274414,70.233,-27.649
181,So-QuAg32,,Point,38.22580737,-122.8274767,69.831,-27.649
227,So-QuAg33,,Point,38.22588111,-122.8266625,74.988,-27.648
229,So-QuAg34,,Point,38.22593439,-122.826718,74.909,-27.648
238,So-QuAg35,,Point,38.22601409,-122.8269957,72.474,-27.648
239,So-QuAg36,,Point,38.22601235,-122.8270754,72.03,-27.648
273,So-QuAg37,,Point,38.22680509,-122.8269409,71.464,-27.647
282,So-QuAg38,,Point,38.2274317,-122.8268488,73.425,-27.646
192,So-RoCa01-1/18,,Point,38.22566543,-122.8261352,78.225,-27.648
194,So-RoCa02-1/18,,Point,38.22562672,-122.8259977,80.444,-27.648
196,So-RoCa03-1/18,,Point,38.22570025,-122.8260098,79.749,-27.648
209,So-RoCa04-1/18,,Point,38.22576543,-122.8263701,76.558,-27.648
213,So-RoCa05-1/18,,Point,38.22578482,-122.8263937,76.861,-27.648
226,So-RoCa06-1/18,,Point,38.22587733,-122.8266152,75.459,-27.648
228,So-RoCa07-1/18,,Point,38.2259075,-122.8267565,74.494,-27.648
231,So-RoCa08-1/18,,Point,38.22591929,-122.8268413,73.73,-27.648
235,So-RoCa09-1/18,,Point,38.22592969,-122.8269509,72.428,-27.648
237,So-RoCa10-1/18,,Point,38.22596936,-122.8270066,72.176,-27.648
