Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
1,UmCa01,,Point,38.2700214,-122.9226594,8.174,-27.674
2,UmCa02,,Point,38.26995066,-122.9226732,10.089,-27.674
3,UmCa03,,Point,38.26990498,-122.9226092,9.211,-27.674
4,UmCa04,,Point,38.26983963,-122.9225459,6.955,-27.674
5,UmCa05,,Point,38.26982899,-122.9227239,14.659,-27.674
6,UmCa06,,Point,38.26975221,-122.9227423,16.258,-27.675
7,UmCa07,,Point,38.26970796,-122.9226701,15.22,-27.675
8,UmCa08,,Point,38.26961575,-122.9226496,15.783,-27.675
