Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset,Site,Species,Planting Date,School,Grade
650,So-SyAl10,NA,Point,38.2283333583333,-122.826342113333,78.105,-27.644,SoMar,SyAl,NA,NA,NA
649,So-SaNi05,NA,Point,38.228251825,-122.826361898333,77.402,-27.644,SoMar,SaNi,NA,NA,NA
648,So-SaNi04,NA,Point,38.228018055,-122.82658562,75.814,-27.644,SoMar,SaNi,NA,NA,NA
646,So-PoFr05,NA,Point,38.2279170933333,-122.826624925,75.082,-27.645,SoMar,PoFr,NA,NA,NA
647,So-SaNi03,NA,Point,38.227958845,-122.826643365,75.58,-27.645,SoMar,SaNi,NA,NA,NA
645,So-CoSe19,NA,Point,38.2278376966667,-122.826711355,74.625,-27.645,SoMar,CoSe,NA,NA,NA
644,So-CoSe18,NA,Point,38.2278285633333,-122.82672815,74.638,-27.645,SoMar,CoSe,NA,NA,NA
643,So-CoSe17,NA,Point,38.22781262,-122.826742746667,74.513,-27.645,SoMar,CoSe,NA,NA,NA
642,So-PoFr04,NA,Point,38.227776595,-122.826797636667,74.784,-27.645,SoMar,PoFr,NA,NA,NA
641,So-2b-right,NA,Point,38.2278077466667,-122.826841013333,75.304,-27.645,SoMar,2b-r,NA,NA,NA
640,So-2b-left,NA,Point,38.2276648666667,-122.826713155,73.611,-27.645,SoMar,2b-l,NA,NA,NA
639,So-PoFr03,NA,Point,38.227716395,-122.826752335,74.279,-27.645,SoMar,PoFr,NA,NA,NA
638,So-PoFr02,NA,Point,38.2277692966667,-122.826670268333,74.548,-27.645,SoMar,PoFr,NA,NA,NA
637,So-SaNi02,NA,Point,38.2277778983333,-122.826610551667,74.967,-27.645,SoMar,SaNi,NA,NA,NA
636,So-RuUr43,NA,Point,38.2281222016667,-122.826290543333,76.561,-27.644,SoMar,RuUr,NA,NA,NA
635,So-RuUr42,NA,Point,38.2281888166667,-122.826243146667,77.22,-27.644,SoMar,RuUr,NA,NA,NA
634,So-RuUr41,NA,Point,38.228239635,-122.82623434999999,76.783,-27.644,SoMar,RuUr,NA,NA,NA
633,So-AeCa00,NA,Point,38.2283258333333,-122.826203348333,76.234,-27.644,SoMar,AeCa,NA,NA,NA
632,So-AeCa00,NA,Point,38.2283828516667,-122.826162008333,76.387,-27.643,SoMar,AeCa,NA,NA,NA
631,So-FrLa45,NA,Point,38.2284019566667,-122.826227993333,75.832,-27.643,SoMar,FrLa,NA,NA,NA
630,So-RuUr40,NA,Point,38.2284767766667,-122.826213096667,76.837,-27.643,SoMar,RuUr,NA,NA,NA
629,So-CrDo21,NA,Point,38.2285323,-122.826095396667,77.35,-27.643,SoMar,CrDo,NA,NA,NA
628,So-LoIn09,NA,Point,38.228504885,-122.826169805,76.21,-27.643,SoMar,LoIn,NA,NA,NA
627,So-RuUr39,NA,Point,38.22851771,-122.82617892,76.763,-27.643,SoMar,RuUr,NA,NA,NA
626,So-SaSp94,NA,Point,38.2285248816667,-122.826180828333,76.869,-27.643,SoMar,SaSp,NA,NA,NA
625,So-SaSp93,NA,Point,38.2285447816667,-122.826172123333,77.006,-27.643,SoMar,SaSp,NA,NA,NA
624,So-RuUr38,NA,Point,38.2285469466667,-122.826157741667,77.098,-27.643,SoMar,RuUr,NA,NA,NA
623,So-SaSp92,NA,Point,38.2285626116667,-122.826177883333,77.048,-27.643,SoMar,SaSp,NA,NA,NA
622,So-AeCa33,NA,Point,38.2285935316667,-122.826122323333,77.838,-27.643,SoMar,AeCa,NA,NA,NA
621,So-FrLa44,NA,Point,38.2286118033333,-122.826206745,77.575,-27.643,SoMar,FrLa,NA,NA,NA
620,So-BaPi13,NA,Point,38.2286270916667,-122.826156386667,77.991,-27.643,SoMar,BaPi,NA,NA,NA
619,So-QuAg41,NA,Point,38.2286932816667,-122.826147755,78.572,-27.643,SoMar,QuAg,NA,NA,NA
618,So-RuUr37,NA,Point,38.2286897916667,-122.826211536667,78.168,-27.643,SoMar,RuUr,NA,NA,NA
617,So-SaSp91,NA,Point,38.2287048966667,-122.826225821667,77.78,-27.643,SoMar,SaSp,NA,NA,NA
616,So-SaSp90,NA,Point,38.2287185766667,-122.82622808,77.937,-27.643,SoMar,SaSp,NA,NA,NA
614,So-RuUr36,NA,Point,38.2287281283333,-122.826217721667,78.212,-27.643,SoMar,RuUr,NA,NA,NA
613,So-RuUr35,NA,Point,38.2287688133333,-122.826182795,78.139,-27.643,SoMar,RuUr,NA,NA,NA
612,So-QuAg40,NA,Point,38.228766665,-122.826144183333,78.313,-27.643,SoMar,QuAg,NA,NA,NA
611,So-SaSp89,NA,Point,38.2287939083333,-122.826174223333,78.437,-27.643,SoMar,SaSp,NA,NA,NA
610,So-RuUr34,NA,Point,38.2287882166667,-122.826161861667,78.676,-27.643,SoMar,RuUr,NA,NA,NA
609,So-SaSp88,NA,Point,38.2288109616667,-122.826156371667,78.476,-27.643,SoMar,SaSp,NA,NA,NA
608,So-SaSp87,NA,Point,38.228830965,-122.826149588333,78.516,-27.643,SoMar,SaSp,NA,NA,NA
607,So-SaSp86,NA,Point,38.2288439866667,-122.82615895,78.566,-27.643,SoMar,SaSp,NA,NA,NA
606,So-RuUr33,NA,Point,38.2288353333333,-122.826145125,78.608,-27.643,SoMar,RuUr,NA,NA,NA
605,So-FrLa43,NA,Point,38.2288686333333,-122.826134876667,78.56,-27.643,SoMar,FrLa,NA,NA,NA
604,So-SyAl09,NA,Point,38.2288760483333,-122.826083433333,78.989,-27.642,SoMar,SyAl,NA,NA,NA
602,So-FrLa42,NA,Point,38.228931495,-122.826121006667,79.311,-27.642,SoMar,FrLa,NA,NA,NA
603,So-SyAl08,NA,Point,38.2289146516667,-122.826072953333,79.211,-27.642,SoMar,SyAl,NA,NA,NA
601,So-RuUr32,NA,Point,38.2289841033333,-122.826087005,79.875,-27.642,SoMar,RuUr,NA,NA,NA
600,So-FrLa41,NA,Point,38.2290235816667,-122.82607811,79.739,-27.642,SoMar,FrLa,NA,NA,NA
599,So-FrLa40,NA,Point,38.2291009083333,-122.8260526,80.319,-27.642,SoMar,FrLa,NA,NA,NA
598,So-SaNi01,NA,Point,38.2291185116667,-122.825991596667,80.996,-27.642,SoMar,SaNi,NA,NA,NA
597,So-RuUr31,NA,Point,38.229161135,-122.82597656,81.343,-27.642,SoMar,RuUr,NA,NA,NA
596,So-SaSp85,NA,Point,38.22917157,-122.82602147,80.891,-27.642,SoMar,SaSp,NA,NA,NA
595,So-SaSp84,NA,Point,38.2291815416667,-122.826002796667,80.913,-27.642,SoMar,SaSp,NA,NA,NA
594,So-SaSp83,NA,Point,38.2291883583333,-122.826005596667,80.475,-27.642,SoMar,SaSp,NA,NA,NA
593,So-FrLa39,NA,Point,38.229196695,-122.82599498,80.463,-27.642,SoMar,FrLa,NA,NA,NA
592,So-SaSp82,NA,Point,38.22926375,-122.825969463333,81.084,-27.642,SoMar,SaSp,NA,NA,NA
591,So-SaSp81,NA,Point,38.22926946,-122.825968923333,80.931,-27.642,SoMar,SaSp,NA,NA,NA
590,So-SaSp80,NA,Point,38.22929611,-122.825944956667,80.909,-27.642,SoMar,SaSp,NA,NA,NA
589,So-SaSp79,NA,Point,38.2293222833333,-122.825938268333,80.958,-27.642,SoMar,SaSp,NA,NA,NA
588,So-SeSe05,NA,Point,38.2293624866667,-122.825934213333,81.434,-27.641,SoMar,SeSe,NA,NA,NA
587,So-AeCa32,NA,Point,38.2294460216667,-122.82591774,82.053,-27.641,SoMar,AeCa,NA,NA,NA
585,So-AeCa31,NA,Point,38.2309355016667,-122.825310345,89.894,-27.638,SoMar,AeCa,NA,NA,NA
584,So-UmCa10,NA,Point,38.2308682533333,-122.825321341667,89.521,-27.638,SoMar,UmCa,NA,NA,NA
583,So-LoIn08,NA,Point,38.2308324333333,-122.825316718333,89.22,-27.638,SoMar,LoIn,NA,NA,NA
582,So-AeCa30,NA,Point,38.2307744433333,-122.825346843333,89.09,-27.639,SoMar,AeCa,NA,NA,NA
581,So-RoCa25,NA,Point,38.2307440983333,-122.825389963333,88.976,-27.639,SoMar,RoCa,NA,NA,NA
580,So-AeCa29,NA,Point,38.2307033516667,-122.825362855,88.844,-27.639,SoMar,AeCa,NA,NA,NA
